file,line,ref_type,target,ref_context,target_title,target_excerpt,score,ref_tokens,target_tokens,sufficient,auto_category,manual_label
CLAUDE.md,21,section,2.1,- Environment Setup: Section 2.1,Phase 0: Environment Setup,,0.1642,28,4,True,match,
CLAUDE.md,22,section,2.2,- Exploration: Section 2.2,Phase 1: Exploration,,0.1552,25,3,True,match,
CLAUDE.md,23,section,2.3,- Feature Engineering: Section 2.3,Phase 2: Feature Engineering,,0.2194,24,4,True,match,
CLAUDE.md,24,section,2.4,- Analysis: Section 2.4,Phase 3: Analysis,,0.1117,25,3,True,match,
CLAUDE.md,25,section,2.5,- Communication: Section 2.5,Phase 4: Communication,,0.1454,23,3,True,match,
CLAUDE.md,26,section,6.1,- Session Management: Section 6.1,Session Management,,0.0000,23,2,False,insufficient,
CLAUDE.md,27,section,6.1.4,- Daily Documentation: Section 6.1.4,Daily Documentation Protocol,**Purpose:** Maintain project continuity and progress visibility through cons...,0.0880,22,16,True,drift,
dsm-feedback.md,47,section,6.4.5,See DSM_1.0 Section 6.4.5 (Project Feedback Deliverables) for the 2-file stan...,Project Feedback Deliverables,"At project start, create two feedback files in `docs/feedback/`. These files ...",0.4375,24,29,True,match,
MEMORY.md,20,section,6,- Feedback handover: use DSM_3 Section 6 prompt template for spoke-to-hub fee...,Common Patterns,,0.0000,61,2,False,insufficient,
MEMORY.md,30,section,7,"## Complete Project Registry (20+ projects, canonical in DSM_3 Section 7)",Tips for Success,,0.0000,75,2,False,insufficient,
MEMORY.md,111,section,7,- Implemented BACKLOG-111: Canonical external DSM description (DSM_3 Section 7),Tips for Success,,0.0000,79,2,False,insufficient,
CLAUDE.md,78,section,2.5.6,- Blog posts follow DSM Section 2.5.6 workflow,Blog/Communication Deliverable Process,"When a project includes a public communication deliverable (blog post, articl...",0.1019,31,15,True,match,
CLAUDE.md,15,section,2.1,- Environment Setup: Section 2.1,Phase 0: Environment Setup,,0.1749,25,4,True,match,
CLAUDE.md,16,section,2.2,- Exploration: Section 2.2,Phase 1: Exploration,,0.1572,24,3,True,match,
CLAUDE.md,17,section,2.3,- Feature Engineering: Section 2.3,Phase 2: Feature Engineering,,0.2406,25,4,True,match,
CLAUDE.md,18,section,2.4,- Analysis: Section 2.4,Phase 3: Analysis,,0.1232,26,3,True,match,
CLAUDE.md,19,section,2.5,- Communication: Section 2.5,Phase 4: Communication,,0.1507,26,3,True,match,
CLAUDE.md,20,appendix,D.2,- NLP Domain: Appendix D.2,NLP Projects,,0.0000,28,2,False,insufficient,
CLAUDE.md,21,section,6.1,- Session Management: Section 6.1,Session Management,,0.0000,30,2,False,insufficient,
CLAUDE.md,16,section,3,"- **Key DSM Sections**: Section 3 (Development Protocol), Section 4 (Tests vs...",Standards to Follow,**Documentation Style:**,0.0000,47,4,True,drift,
CLAUDE.md,16,section,4,"- **Key DSM Sections**: Section 3 (Development Protocol), Section 4 (Tests vs...",Commit Guidelines,**Commit Message Format:**,0.0000,47,5,True,drift,
CLAUDE.md,90,section,2.5.6,- **Blog as deliverable**: Document journey throughout (Section 2.5.6-2.5.8),Blog/Communication Deliverable Process,"When a project includes a public communication deliverable (blog post, articl...",0.1105,43,15,True,match,
CLAUDE.md,106,section,2.5.6,Following Section 2.5.6 (Blog/Communication Deliverable Process):,Blog/Communication Deliverable Process,"When a project includes a public communication deliverable (blog post, articl...",0.3238,41,15,True,match,
CLAUDE.md,21,section,2.1.9,- Research Phase: Section 2.1.9 (Business Understanding),Business Understanding Foundation,**Purpose:** Establish business context before data exploration. This isn't s...,0.1606,31,22,True,match,
CLAUDE.md,23,section,6.5,- Gateway Review: Section 6.5,Gateway Review Protocol,,0.1896,26,3,True,match,
CLAUDE.md,38,section,2.2,**Integration:** This MCP server is designed to be consumed by any DSM spoke ...,Phase 1: Exploration,,0.1286,71,3,True,match,
CLAUDE.md,25,section,2.5,"**Project Type:** Documentation (markdown-only, no `notebooks/` or `src/`). F...",Phase 4: Communication,,0.0739,64,3,True,drift,
CHANGELOG.md,19,section,4.4,"- Section 4.4: added ""Experiment types"" note distinguishing tuning experiment...",Tests vs Capability Experiments,Software projects use two distinct validation approaches. Understanding when ...,0.0848,55,15,True,drift,
CHANGELOG.md,44,section,6.4,**DSM_3 Section 6.4** added:,Checkpoint and Feedback Protocol,,0.0000,44,3,True,drift,
CHANGELOG.md,52,section,6,**DSM_3 Section 6** updated:,Common Patterns,,0.0000,35,2,False,insufficient,
CHANGELOG.md,102,section,2.5.6,**DSM_1.0 Section 2.5.6** updated:,Blog/Communication Deliverable Process,"When a project includes a public communication deliverable (blog post, articl...",0.1136,65,15,True,match,
CHANGELOG.md,107,section,2.2,**DSM_4.0 Section 2.2** updated:,Phase 1: Exploration,,0.0000,52,3,True,drift,
CHANGELOG.md,124,section,6.1.2,**DSM_1.0 Section 6.1.2** updated:,Session Handoff Templates,**When to Create Handoff:**,0.2149,52,6,True,match,
CHANGELOG.md,127,section,6.3,**DSM_3 Section 6.3** added:,Troubleshooting,,0.0000,50,1,False,insufficient,
CHANGELOG.md,151,section,2.5,- Documentation row now references DSM_5.0 (was DSM 2.0/Section 2.5),Phase 4: Communication,,0.0000,46,3,True,drift,
CHANGELOG.md,162,section,6,"**DSM_3 Section 6** restructured to ""Project Handover Protocols"":",Common Patterns,,0.0000,57,2,False,insufficient,
CHANGELOG.md,163,section,6.1,"- Section 6.1: Spoke-to-Hub Feedback Handover (existing, renumbered 6.1.1-6.1.3)",Session Management,,0.0000,66,2,False,insufficient,
CHANGELOG.md,164,section,6.2,"- Section 6.2: Hub-to-Spoke Project Kickoff (new), with preliminary scope tem...",Quality Assurance,,0.0000,64,2,False,insufficient,
CHANGELOG.md,168,section,6.5.2,**DSM_1.0 Section 6.5.2**: Hub Kickoff Gate (pre-Gateway 1) note added,Three Gateway Levels,**Hub Kickoff Gate (pre-Gateway 1):** If the project was initiated by DSM Cen...,0.4687,63,35,True,match,
